OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
92332,245,50$ to 200$,7/9/2014,18:30,D140072177A,238 HENDRICKS PL,NE20,198822.2,1647179.72
92333,245,50$ to 200$,7/9/2014,22:00,D140072396A,2633 E MICHIGAN ST,NE20,201237.35,1648757.12
92334,245,50$ to 200$,7/10/2014,2:04,D140072286A,7382 CHINOOK CR,NE50,223750.14,1646342.92
92335,245,50$ to 200$,7/15/2014,0:50,D140074025A,2802 CARLA CT,NE60,231481.93,1661037.53
92336,245,50$ to 200$,7/15/2014,17:00,D140074950A,863 S BILTMORE AV,SW60,163377.61,1641790.49
92337,245,50$ to 200$,7/16/2014,12:10,D140074564A,3820 W BRADBURY AVE,SW60,170790.1,1633421.17
92338,245,50$ to 200$,7/16/2014,20:16,D140074789A,6909 CHRYSLER ST,NW60,166242.38,1687434.85
92339,245,50$ to 200$,7/16/2014,20:45,D140074925A,5930 TIMBER LAKE WAY,SE40,216130.19,1617890.55
92340,245,50$ to 200$,7/17/2014,14:30,D140075026A,1554 HARLAN ST,SE20,199079.8,1638737.2
92341,245,50$ to 200$,7/18/2014,22:45,D140075861A,2715 MADISON AVE,SE20,191342.21,1631848.06
92342,245,50$ to 200$,7/19/2014,12:00,D140075830A,8950 US 31 S,SE50,198333.7,1598517.1
92343,245,50$ to 200$,7/19/2014,12:49,D140075823A,1300 E 86TH ST,ND70,196006.83,1699830.37
92344,245,50$ to 200$,7/19/2014,15:30,D140075856A,1501 PROSPECT ST,SE10,196751.52,1640820.14
92345,245,50$ to 200$,7/20/2014,3:12,D140076062A,W 29TH & DR M L KING JR ST,NW10,185846.94,1661265.33
92346,245,50$ to 200$,7/20/2014,19:24,D140076243A,4519 S DENNY ST,SE30,206217.94,1621867.5
92347,245,50$ to 200$,7/22/2014,11:30,D140076984A,3553 FOUNDERS RD,ND70,172516.71,1699559.3
92348,245,50$ to 200$,7/22/2014,15:44,D140076982A,5221 LUZZANE LN,ND50,196491.25,1675665.09
